patient_id,first_name,middle_initial,last_name,name,sex,birth_date,address,last_visit,conditions,medications,hemoglobin,glucose,ssn,phone_number,guardrail_violation_flag
183f3c2e-c2ac-42ed-90ae-12b3869e72e2,Alexandra,H,Ashley,Alexandra H Ashley,female,2015-09-11,"561 Butler Isle, New Alejandratown, VI 26277",2025-04-08,"arthritis, COPD, depression","metformin, atorvastatin",16.6,188.8,,,False
55190a9c-ea22-4823-b751-11a7caf743fd,Matthew,U,Kelley,Matthew U Kelley,male,2006-07-08,"PSC 0720, Box 6429, APO AP 98741",2025-01-21,"hypertension, depression, asthma",,13.6,159.0,,,False
b0057bde-d826-4336-8523-76e5858a4b59,Sharon,F,Fitzgerald,Sharon F Fitzgerald,female,2025-04-10,"1011 Jesus Drive Apt. 332, Diamondland, IA 03219",2025-07-04,"hypertension, asthma",,13.9,125.2,,,False
a69ab1e9-787c-41d4-8bfd-6b1443461245,Hunter,F,Marshall,Hunter F Marshall,male,2009-04-25,"67947 Richard Lakes, Katherinefurt, MT 73320",2025-08-22,diabetes,"sertraline, atorvastatin",12.7,184.5,,,False
839787ae-46de-4d17-8eb3-80e040938e2b,Brandon,V,Rosales,Brandon V Rosales,male,1959-05-27,"4164 Kramer Brooks Suite 642, Suzanneburgh, IA 21347",2025-07-23,"hypertension, depression, asthma",,16.2,132.3,,,False
2481868d-95a5-42e9-a931-888a3fb0418b,Holly,H,Ward,Holly H Ward,female,2019-07-05,"951 Tyler Square Suite 124, Lake Mary, WA 70734",2025-03-12,"arthritis, diabetes, asthma",,15.7,117.7,,,False
c1c4ba5c-27e1-4f44-b9df-aae2dff20253,Elizabeth,I,Ryan,Elizabeth I Ryan,female,1942-04-20,"92018 Matthew Wells, Lisatown, CO 92513",2025-07-13,hypertension,,12.6,142.8,,,False
414c8290-d8d9-40d6-ad3c-5f9d76492afb,James,C,Parker,James C Parker,male,1977-10-20,"686 Sullivan Loaf, North Heatherview, KS 01528",2025-02-14,depression,"metformin, albuterol",12.4,178.9,,,False
fb3c3451-d08a-4252-be5d-30920b16f9d5,Patricia,Z,Perry,Patricia Z Perry,female,1938-07-25,"677 Jeremy Underpass Suite 968, Codychester, TN 09381",2025-08-12,"asthma, hypertension, diabetes",atorvastatin,17.0,145.5,,,False
cd9d7fd7-8008-4086-9c90-6a4fc953bdc9,Gina,X,Mcguire,Gina X Mcguire,female,2017-12-13,"142 Thomas Points Apt. 443, Robbinsshire, SD 07559",2025-08-09,"depression, asthma, arthritis","lisinopril, atorvastatin",17.3,161.3,,,False
4df20df7-fa68-4ff3-b6f2-1415b88c031d,Zachary,W,Elliott,Zachary W Elliott,male,1984-10-29,"88060 Tanya Cape Apt. 464, Patricialand, NM 52254",2025-08-16,"hypertension, arthritis","lisinopril, albuterol",15.3,185.4,,,False
c87626ca-ef08-4901-aa67-42b684fbbffc,Christine,L,King,Christine L King,female,1999-05-02,"6800 Carl Ramp Suite 780, South Brandon, OK 78490",2025-01-19,"hypertension, COPD","lisinopril, atorvastatin",12.5,150.7,,,False
579c20c0-4310-40c7-b839-ebfba858aa71,Rachel,D,Sullivan,Rachel D Sullivan,female,1945-12-27,"18662 Rebecca Port, New Anntown, NV 41691",2025-07-29,arthritis,,13.3,179.4,,,False
c8f33458-2f8a-4020-91d3-06bbc1833945,Susan,U,Conrad,Susan U Conrad,female,1999-07-25,"0718 Robinson Lakes Apt. 262, Lake Tanyastad, MP 45885",2025-04-22,COPD,,13.0,151.5,,,False
3dda9cf3-14fe-4b31-a63e-0c835cd21fa4,Lisa,E,Krause,Lisa E Krause,female,1949-06-19,"23486 Travis Circles Apt. 016, Dawnchester, VT 36677",2025-01-10,"hypertension, asthma",,15.5,182.2,,,False
96d0eb87-bdac-4ff4-b4c1-b5ef21e8769a,Keith,O,Banks,Keith O Banks,male,1989-12-10,"510 Williams Viaduct Apt. 437, New Natalieberg, OH 21352",2025-03-30,"arthritis, COPD",metformin,14.9,169.5,,,False
bcd22bfa-6bd4-4a7e-988a-f12cf6805721,Laurie,A,Duran,Laurie A Duran,female,1948-04-03,"389 Robert Freeway, Clayborough, CA 09170",2025-07-15,"diabetes, COPD, depression","lisinopril, atorvastatin",15.9,100.0,,,False
3783dde6-9415-4719-b119-d9f62e9d55b4,Valerie,S,Hendrix,Valerie S Hendrix,female,2007-03-10,"7570 Daniels Estates Suite 357, South Daniel, MA 22034",2025-07-17,depression,"albuterol, atorvastatin",12.9,196.1,,,False
c0d1f208-0bbc-4959-8894-f12e0b14c33c,Ryan,M,Fisher,Ryan M Fisher,male,2008-01-17,"4714 Baxter Mall, South Alexandra, KS 64345",2025-08-12,"asthma, hypertension",,12.2,76.0,,,False
15af5636-0fb6-4b98-bb03-18d90b1497f3,Sean,T,Smith,Sean T Smith,male,2013-12-25,"1692 Jennifer Crossing, Port Laurie, HI 60155",2025-07-31,"diabetes, asthma",,12.3,98.0,,,False
00e562a6-00f9-4a53-8267-d81423a5e737,Michael,J,Campbell,Michael J Campbell,male,1968-02-26,"646 Zachary Forest, South Markshire, DC 59747",2025-04-03,"asthma, depression",,15.2,150.0,,,False
434c9e33-7fe3-4d3f-9159-a7c49d1823aa,Suzanne,J,Hernandez,Suzanne J Hernandez,female,1940-11-21,"01753 Daniel Spur Suite 896, Mcdowellstad, WY 69488",2025-01-16,"asthma, COPD",,14.8,146.5,,,False
47aac516-5c4a-4edf-a536-769e7c82a621,Danielle,M,Hayes,Danielle M Hayes,female,1985-08-27,"49141 Mendoza Pine Apt. 414, Port Kevinmouth, AZ 41219",2025-05-07,"asthma, diabetes, arthritis",,12.1,107.7,,,False
51f58d63-7b72-4b51-be23-278de7af67d8,Brandon,T,Green,Brandon T Green,male,1936-01-11,"47080 Scott Isle, South John, WI 36290",2025-05-21,"diabetes, arthritis, depression","albuterol, metformin",16.5,190.4,,,False
12f559f6-46ef-4a17-a68a-d7068023d8a6,Scott,E,Colon,Scott E Colon,male,1981-07-20,"6219 Joseph Springs, Lake Michelle, DE 38295",2025-07-20,arthritis,,16.2,100.3,,,False
9035d214-7b4a-4650-b3fc-393976566c3a,Austin,F,Sanders,Austin F Sanders,male,1981-09-28,"94381 Michael Meadows, Lyonsville, NM 65629",2025-01-28,hypertension,,11.9,125.2,,,False
be988ae9-e455-4419-bf05-f8f3bf60e503,Pamela,H,Erickson,Pamela H Erickson,female,2004-06-27,"73999 Katherine Viaduct, West Rebeccaland, AL 95067",2025-06-27,diabetes,,15.4,137.2,,,False
4ca53108-0b37-4d01-9fb5-defa8d2b4ea8,Jennifer,M,Edwards,Jennifer M Edwards,female,1995-05-04,"Unit 4942 Box 2094, DPO AA 94197",2025-04-27,asthma,"lisinopril, metformin",11.1,174.9,,,False
205cffe0-444b-41d9-bd77-05f572c433e9,Emily,U,Waller,Emily U Waller,female,2022-10-28,"870 Walker Greens, Lake Brandihaven, HI 68180",2025-05-16,asthma,metformin,12.9,140.4,,,False
76f853c8-7e92-4572-b067-5e7b111921b1,Angela,D,Williams,Angela D Williams,female,1993-04-04,"1840 Kelly Loop, Jacquelinefort, MA 75751",2025-05-02,asthma,,12.6,191.0,,,False
7d94d995-436b-43c2-b655-9029caa719b2,Richard,R,Rollins,Richard R Rollins,male,1951-09-22,"34845 Peters Island Suite 465, Port Andrewside, NH 41887",2025-04-17,"arthritis, diabetes, COPD",,13.9,184.9,,,False
31feefa8-f1b6-4286-bb4e-0326e0c4f5e9,Sarah,Q,Ellison,Sarah Q Ellison,female,1956-03-30,"26632 Ferrell Square Suite 480, Port Curtis, GU 59792",2025-07-31,arthritis,,14.6,148.0,,,False
e868941a-570a-4f72-8bb7-0268674bd9f1,Melissa,U,Moon,Melissa U Moon,female,1997-12-19,"251 Danielle Manors Suite 233, Scotttown, LA 09278",2025-04-26,"arthritis, hypertension","sertraline, albuterol",15.6,141.9,,,False
cfa3a0dd-1a87-4fc0-88b8-d081dd1079ac,Kim,Z,Jacobson,Kim Z Jacobson,female,1939-11-19,"819 Susan Radial Suite 763, Lake Julie, SD 20109",2025-06-07,hypertension,"sertraline, metformin",14.0,135.2,,,False
1010520e-0ab3-442f-900d-993930333996,John,R,Burton,John R Burton,male,1996-03-01,"59598 Stacey Dam, West Ashley, MI 96445",2025-01-19,"depression, hypertension, arthritis",metformin,17.2,163.5,,,False
051ef180-ba69-4871-b6a7-64230dd439f4,Donna,Q,Lambert,Donna Q Lambert,female,2003-02-16,"6010 Hailey Turnpike Suite 442, Port Kathleen, PW 72832",2025-05-21,"hypertension, COPD, asthma",metformin,14.4,99.3,,,False
4dd58eac-dad7-4a7a-94b2-5c580fb00e4a,Richard,R,Lopez,Richard R Lopez,male,1952-08-19,"88560 Mccarthy Park Suite 529, Hannahmouth, UT 01424",2025-06-11,"hypertension, COPD, diabetes",metformin,16.2,157.3,,,False
1a9aa1b4-f8a6-4c7f-8a53-7539c2a45160,Jodi,H,Camacho,Jodi H Camacho,female,1995-06-04,"616 Rita Plaza, New Tyler, MN 08989",2025-03-09,"arthritis, depression, asthma",,13.4,110.3,,,False
127d614a-e197-4816-9787-b70966b50326,Monica,A,Peters,Monica A Peters,female,1941-04-11,"1256 Hanson Motorway Suite 702, Donaldville, AK 33174",2025-07-05,"arthritis, depression, COPD",atorvastatin,14.2,83.7,,,False
3e7556bf-3629-4ed9-915b-8848e314229b,Elizabeth,B,Harris,Elizabeth B Harris,female,2000-04-10,"191 Alvarez Roads Suite 609, Lake Allison, ID 81686",2025-07-08,depression,,13.3,135.9,,,False
2afc123b-2e31-4a8e-bec9-3dfacd5ac974,Jerry,I,Stevens,Jerry I Stevens,male,2014-03-18,"1057 Johnson Glen, Port Deniseport, VT 75321",2025-08-19,depression,"metformin, sertraline",11.9,153.5,,,False
664dae40-bae2-4e59-b590-d6ca87875d50,Greg,C,Marshall,Greg C Marshall,male,1981-11-20,"0184 Collier Forest Apt. 498, New Williamhaven, PR 39730",2025-04-08,hypertension,,12.7,177.8,,,False
f5769f4a-3bee-4d66-bdd0-2b84fc4529aa,Terri,N,Diaz,Terri N Diaz,female,1970-03-18,"22110 Wilson Harbors, North Kristinfort, ID 62581",2025-07-04,COPD,"sertraline, metformin",13.2,82.1,,,False
aca3b40b-fb8b-42b2-a257-0dc5b3cd58fd,David,V,Shepard,David V Shepard,male,2003-04-18,"8455 Lopez Locks Apt. 119, Hamiltonbury, NM 68573",2025-04-18,"COPD, hypertension, asthma",lisinopril,11.5,193.8,,,False
b797b5dc-81a5-4127-a55b-f15fdfa6e6d0,Tiffany,S,Hodge,Tiffany S Hodge,female,1935-02-11,"025 Burton Square Apt. 609, East Angela, SD 17906",2025-05-14,"COPD, diabetes","sertraline, atorvastatin",16.5,123.4,,,False
940240ef-9ae3-44ff-aba6-6e4b791b2db0,Craig,R,Anderson,Craig R Anderson,male,1973-08-14,"3883 Valerie Turnpike Suite 839, Lake Davidville, AZ 08148",2025-03-23,"arthritis, asthma","metformin, atorvastatin",17.2,130.0,,,False
26b91ba6-2829-4ebc-9074-4cd7b4f11cdb,Justin,F,Yoder,Justin F Yoder,male,2021-12-15,"08124 Garcia Point Suite 199, New Cameron, AK 81581",2025-03-19,"COPD, asthma, hypertension","albuterol, lisinopril",14.4,73.4,,,False
1758de61-7e50-4b28-a797-af766d8316dc,Alexis,K,Wagner,Alexis K Wagner,female,2009-07-26,"9974 Timothy Shore Apt. 785, North Nicoleland, PW 84041",2025-08-22,"asthma, depression, COPD","metformin, sertraline",15.9,125.6,,,False
d2e46557-abc9-4327-b2ca-b10b0207a734,Anthony,S,Macdonald,Anthony S Macdonald,male,1952-08-17,"PSC 4908, Box 9286, APO AE 09414",2025-03-08,diabetes,metformin,16.8,94.5,,,False
7fd42925-7495-462e-b953-125918fc1d33,Cynthia,F,Riley,Cynthia F Riley,female,1987-08-16,"968 Solomon Course Suite 007, Richardport, ID 33462",2025-01-25,"hypertension, diabetes, COPD",sertraline,13.2,120.7,,,False
46fc93ce-9842-4a10-97f7-6ad54ea50c02,Lisa,Q,Bauer,Lisa Q Bauer,female,1992-01-13,"52749 Darlene Views, Sydneystad, AL 45000",2025-02-26,"hypertension, diabetes","lisinopril, albuterol",13.9,110.0,,,False
55cc4d9c-d02f-4077-81e2-2da2f9ed3f5f,Jose,W,Gonzales,Jose W Gonzales,male,2025-04-08,"USS Jackson, FPO AP 87492",2025-03-14,"arthritis, depression","lisinopril, atorvastatin",13.8,87.1,,,False
87c9e17b-b306-4bda-a804-acbf734ac5d4,Timothy,X,Davis,Timothy X Davis,male,1948-08-23,"5152 Randall Mission Suite 105, Alisonbury, ME 30293",2025-03-30,diabetes,,13.9,193.5,,,False
f3ef5561-1cfc-46b7-b169-222586946375,Kristen,R,Jenkins,Kristen R Jenkins,female,2003-06-26,"1259 Bowen Crossroad, Carterberg, AZ 36930",2025-03-09,asthma,albuterol,16.4,123.7,,,False
a3157071-d785-476b-8618-802ae52b9a51,Jasmine,Y,Wilson,Jasmine Y Wilson,female,2003-10-11,"3142 Crystal Turnpike Apt. 445, South Jeffreyland, IL 10056",2025-06-25,"arthritis, asthma",lisinopril,12.2,102.3,,,False
63e59942-78bb-4d53-9069-4b644924be8d,Cassie,A,Vega,Cassie A Vega,female,2013-07-14,"52388 Kyle Mountains, Brianport, MT 01168",2025-08-20,"depression, arthritis, hypertension",albuterol,14.5,174.7,,,False
9c4d0f1a-0680-49bf-abf4-c98676537b75,Patricia,I,Grant,Patricia I Grant,female,2003-09-05,"2150 Gilbert Junction Apt. 053, South Erin, HI 42106",2025-01-15,"depression, asthma","sertraline, albuterol",15.5,114.0,,,False
8c1895c3-b9d9-412a-936d-ad54adfcd95b,Randall,G,Brown,Randall G Brown,male,2003-08-14,"29972 Daniels Pine Suite 697, South Codyshire, WA 51859",2025-03-13,"COPD, arthritis",sertraline,12.3,99.0,,,False
11404648-6172-46d0-986c-5bbed80d55a0,Roger,Q,Garcia,Roger Q Garcia,male,1964-12-08,"927 Christopher Ford Apt. 345, Bishopville, TX 32146",2025-06-15,"COPD, asthma",atorvastatin,17.2,82.6,,,False
b9430c34-1943-4fcb-a65d-e7f92ae6d6e5,Terrance,B,Lopez,Terrance B Lopez,male,1989-08-08,"6230 Perez Squares Apt. 160, Juanview, NY 37576",2025-01-14,"asthma, COPD, hypertension","metformin, lisinopril",11.9,146.1,,,False
d619bc9e-509a-4878-9dcc-688844640310,Kyle,I,Drake,Kyle I Drake,male,1996-11-06,"2688 Skinner Gardens, South Dustinburgh, PA 28654",2025-03-19,"hypertension, pregnancy, opioid addiction",,17.5,154.1,383-25-1710,880-539-6879,True
2e20581b-16f9-42b9-b796-3730acc45c20,Amy,J,Smith,Amy J Smith,female,1975-11-02,"457 Love Springs Suite 197, Frankview, MP 93034",2025-04-25,"diabetes, arthritis, opioid addiction",lisinopril,12.5,185.7,724-74-6425,4562036669,True
c7b9f4c0-1b57-4c37-b672-7977adb03cc7,Daniel,V,Oneal,Daniel V Oneal,male,1984-04-28,"578 Kayla Turnpike Apt. 250, Victorialand, AZ 02086",2025-06-14,"arthritis, pregnancy, opioid addiction",metformin,11.9,137.2,728-89-2152,695-246-2994x0799,True
2982e58f-1b99-4432-94d0-d0d87798b123,Barry,U,Harris,Barry U Harris,male,1983-01-10,"100 Alyssa Lakes Suite 490, Lake Scott, HI 23102",2025-05-21,"diabetes, pregnancy, opioid addiction",,16.7,170.7,360-50-4826,001-260-345-2682x871,True
195e4532-0dac-4428-b35d-48b4cd7a7031,Chelsea,E,Peterson,Chelsea E Peterson,female,1966-03-08,"098 Karen Hollow, New Kathrynside, MI 50387",2025-01-28,"COPD, opioid addiction",,13.8,127.8,551-55-4394,(453)592-5648x40731,True
648dbcea-ab11-400a-a915-88e5d8d264ad,Kenneth,X,Williams,Kenneth X Williams,male,2023-05-11,"29007 Schultz Oval, Ianshire, IN 62628",2025-06-12,"arthritis, pregnancy, opioid addiction",metformin,13.2,171.5,744-34-0832,(505)595-1491x3821,True
0bcb6a1d-ccf7-4bc1-8f05-fd8cfede9d87,Michael,A,Randall,Michael A Randall,male,2021-01-09,"3772 Berger Village, Petersonview, CO 18305",2025-07-29,"asthma, COPD, pregnancy, HIV",lisinopril,16.7,182.6,149-35-7373,404-381-3948x55186,True
0538d43a-e5bc-4294-8d8d-f269dde78035,Heather,N,Johnson,Heather N Johnson,female,2011-03-01,"4824 Jones Drive Apt. 589, Barberton, OR 39170",2025-06-29,"arthritis, diabetes, hypertension, opioid addiction",,,,555-32-5718,001-839-864-3034x646,True
fb567770-60c2-4d9a-ad4d-a7d88f051128,Teresa,P,Braun,Teresa P Braun,female,1988-04-29,"3148 John Underpass, West Yvonne, ME 04276",2025-08-09,"hypertension, arthritis, opioid addiction",,14.7,82.0,295-75-3794,(294)261-0306x6521,True
bcdf9993-d00a-4a93-bbea-49f42d34973e,William,Q,Campbell,William Q Campbell,male,2021-03-29,"257 Brittney Branch Suite 113, North Patrick, NY 15955",2025-08-03,"hypertension, depression, diabetes, pregnancy, HIV","albuterol, metformin",11.9,146.1,480-22-5173,7357448589,True
b2cd8b05-9d63-4dc8-bd52-9daf090bfbd6,Kathleen,L,Pena,Kathleen L Pena,female,1937-11-03,"7267 Brittany Ridges Suite 880, South Larry, IN 44754",2025-02-15,"diabetes, COPD, opioid addiction",metformin,13.3,99.2,709-57-5731,(622)242-3388,True
43733f17-1a5c-475a-9ab5-d7df42e588e5,Krystal,T,White,Krystal T White,female,1988-11-27,"628 Marshall Rest Apt. 767, New Laurenside, UT 94026",2025-05-11,"arthritis, asthma, diabetes, HIV",lisinopril,17.0,123.8,359-61-6788,687-349-6124x70093,True
155363a5-3123-4e78-8757-6aead3648e3f,Karla,X,Williams,Karla X Williams,female,1993-07-17,"Unit 7310 Box 2781, DPO AE 69183",2025-05-07,"asthma, COPD, hypertension, HIV",,12.7,84.1,164-52-0368,821.288.7797x75138,True
7b5f1207-2f39-40ef-839a-85a10826873b,Perry,W,Lamb,Perry W Lamb,male,1966-10-05,"225 Lynch Row Suite 258, Lake Michaelstad, SD 20315",2025-05-21,"arthritis, pregnancy, HIV",,12.0,155.6,248-71-7268,001-333-394-7517x013,True
